gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,3584,3072,896,16,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,29.9505,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,5.0%,21.1924,cktile_a8w4_bm32,0.0%,51.1429,0,0,0,20.67,578673.09,
gfx950,256,2,3584,3072,896,16,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,56.8409,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,4.9%,34.6616,cktile_a8w4_bm32,0.0%,91.5025,0,0,0,23.1,323434.12,
gfx950,256,3,3584,3072,896,16,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,83.6237,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_xcd4_fp8,5.0%,50.0187,opus_moe2_afp8_wfp4_atomic_t32x128x256_sbm32_occ1_cache_b2_ws2,0.0%,133.6424,0,0,0,23.73,221449.49,
gfx950,256,4,3584,3072,896,16,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,107.7858,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,5.1%,62.2957,opus_moe2_afp8_wfp4_atomic_t32x128x256_sbm32_occ1_cache_b3_ws2,0.0%,170.0815,0,0,0,24.86,174005.12,
gfx950,256,8,3584,3072,896,16,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,202.9854,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,5.1%,111.0931,cktile_a8w4_bm32,0.0%,314.0785,0,0,0,26.92,94228.34,
gfx950,256,16,3584,3072,896,16,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,392.043,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,5.2%,201.4019,cktile_a8w4_bm32,0.0%,593.4449,0,0,0,28.5,49870.14,
gfx950,256,32,3584,3072,896,16,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,664.2879,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,5.2%,343.6745,cktile_a8w4_bm32,0.0%,1007.9624,0,0,0,33.56,29361.56,
gfx950,256,64,3584,3072,896,16,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,1056.3589,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,5.1%,540.9338,cktile_a8w4_bm32,0.0%,1597.2927,0,0,0,42.35,18528.66,
gfx950,256,128,3584,3072,896,16,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,1385.3484,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,5.1%,709.4379,cktile_a8w4_bm32,0.0%,2094.7863,0,0,0,64.58,14128.59,
gfx950,256,256,3584,3072,896,16,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,1510.6979,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,5.1%,775.3306,cktile_a8w4_bm32,0.0%,2286.0285,0,0,0,118.36,12947.24,
gfx950,256,512,3584,3072,896,16,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,1557.0609,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,5.1%,815.4706,opus_moe2_afp8_wfp4_atomic_t32x128x256_sbm32_occ1_cache_b3_ws2,0.0%,2372.5315,0,0,0,228.1,12476.34,
gfx950,256,1024,3584,3072,896,16,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,1730.6452,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,5.1%,917.2639,cktile_a8w4_bm32,0.0%,2647.9091,0,0,0,408.75,11180.9,
gfx950,256,2048,3584,3072,896,16,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1787.4807,flydsl_moe1_afp8_wfp4_bf16_t64x128x256_w4_gui_fp8,5.1%,962.6769,flydsl_moe2_afp8_wfp4_bf16_t64x128x256_atomic_persist,0.0%,2750.1576,0,0,0,787.11,10769.21,
gfx950,256,4096,3584,3072,896,16,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,2506.9492,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_bnt0_gui_fp8,5.1%,1448.4113,flydsl_moe2_afp8_wfp4_bf16_t128x128x256_atomic_bnt2,0.0%,3955.3605,0,0,0,1094.55,7493.39,
gfx950,256,8192,3584,3072,896,16,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,4073.8298,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_bnt0_gui_fp8,5.1%,2124.4184,opus_moe2_afp8_wfp4_fp8_t64x256x256_sbm64_rbn3584,0.1%,6198.2482,0,0,0,1396.95,4788.95,
gfx950,256,16384,3584,3072,896,16,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,6607.6321,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_w3_bnt0_gui_fp8,5.1%,3555.4813,opus_moe2_afp8_wfp4_fp8_t64x256x256_sbm64_rbn3072,0.1%,10163.1134,0,0,0,1703.94,2929.34,
