gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,3072,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,29,1,2.9107,flydsl_gemm2_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,0.27,272.39
gfx950,256,1,3072,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4489,4,9.9609,flydsl_gemm6_abf16_wbf16_bf16_t16x64x64_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.012,4.42,4423.36
gfx950,256,2,3072,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,29,1,3.5072,flydsl_gemm2_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,0.45,227.88
gfx950,256,2,3072,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4473,4,10.2357,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k4_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0205,8.61,4306.61
gfx950,256,4,3072,128,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,2.997,auto,0.0,1.05,270.95
gfx950,256,4,3072,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3889,4,10.188,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0124,17.29,4330.79
gfx950,256,8,3072,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,29,1,2.9794,flydsl_gemm2_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,2.11,281.14
gfx950,256,8,3072,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3889,4,10.4499,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0122,33.72,4230.09
gfx950,256,16,3072,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,29,1,2.9838,flydsl_gemm2_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,4.22,297.89
gfx950,256,16,3072,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4943,4,10.5008,flydsl_gemm7_abf16_wbf16_bf16_t16x64x64_split_k4_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0212,67.1,4225.19
gfx950,256,32,3072,128,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,2.7666,auto,0.0,9.1,358.29
