gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,31.0972,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,5.0%,20.2778,flydsl_moe2_afp8_wfp4_bf16_t32x128x256_reduce,0.0%,51.375,0,0,0,19.29,72007.53,
gfx950,256,2,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,55.2681,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_xcd4_fp8,5.1%,32.648,cktile_a8w4_bm32,0.0%,87.9161,0,0,0,22.54,42078.73,
gfx950,256,3,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,75.5196,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,5.1%,44.9386,opus_moe2_afp8_wfp4_atomic_t32x128x256_sbm32_occ1_cache_b3_ws2,0.0%,120.4582,0,0,0,24.68,30711.14,
gfx950,256,4,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,90.3877,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,5.2%,53.4015,opus_moe2_afp8_wfp4_atomic_t32x128x256_sbm32_occ1_cache_b3_ws2,0.0%,143.7892,0,0,0,27.57,25728.07,
gfx950,256,8,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,144.6627,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,5.2%,81.813,cktile_a8w4_bm32,0.0%,226.4757,0,0,0,35.0,16334.92,
gfx950,256,16,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,183.1793,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,5.2%,98.4079,cktile_a8w4_bm32,0.0%,281.5872,0,0,0,56.3,13138.2,
gfx950,256,32,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,203.24,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,5.1%,111.3943,cktile_a8w4_bm32,0.0%,314.6343,0,0,0,100.78,11758.79,
gfx950,256,64,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,206.5551,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,5.1%,112.3634,cktile_a8w4_bm32,0.0%,318.9185,0,0,0,198.85,11601.91,
gfx950,256,128,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,209.9896,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,5.1%,114.4395,cktile_a8w4_bm32,0.0%,324.4291,0,0,0,390.95,11406.97,
gfx950,256,256,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,239.8681,flydsl_moe1_afp8_wfp4_bf16_t64x128x256_w3_gui_fp8,5.1%,132.9692,flydsl_moe2_afp8_wfp4_bf16_t64x128x256_atomic_bnt2,0.0%,372.8373,0,0,0,680.38,9929.61,
gfx950,256,512,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,321.1075,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_gui_fp8,5.1%,198.4803,flydsl_moe2_afp8_wfp4_bf16_t128x128x256_atomic_bnt2_persist,0.0%,519.5878,0,0,0,976.43,7130.42,
gfx950,256,1024,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,505.1144,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_w2_bnt0_gui_fp8,5.1%,277.2957,flydsl_moe2_afp8_wfp4_bf16_t64x256x128_atomic_xcd4_persist,0.0%,782.4101,0,0,0,1296.87,4742.25,
gfx950,256,2048,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,793.058,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_w3_bnt0_gui_fp8,5.1%,440.693,flydsl_moe2_afp8_wfp4_bf16_t64x256x128_atomic_xcd4_persist,0.0%,1233.751,0,0,0,1644.88,3016.33,
gfx950,256,4096,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1379.6746,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_bnt0_gui_fp8,5.1%,745.2764,flydsl_moe2_afp8_wfp4_bf16_t64x256x128_atomic_xcd4,0.0%,2124.951,0,0,0,1910.04,1761.65,
gfx950,256,8192,3584,3072,112,15,ActivationType.Situv2,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,2515.7448,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_w4_bnt0_gui_fp8,5.1%,1382.6938,flydsl_moe2_afp8_wfp4_bf16_t64x256x128_atomic_xcd4_persist_sbm128,0.0%,3898.4386,0,0,0,2082.24,971.53,
